"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","81555","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","84988","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","87931","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","89630","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","82283","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","93593","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","101482","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","102692","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","275354","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","278513","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","286132","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","292760","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","295468","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","303441","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","307238","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","308767","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","307236","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","642548","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","655025","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","677006","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","694858","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","709300","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","639966","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","680580","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","740270","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","760484","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","29166","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","31791","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","31910","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","32758","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","33803","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","33932","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","34018","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","35989","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","37381","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","426425","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","434005","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","443184","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","457122","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","462057","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","467908","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","494221","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","509794","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","520940","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","493068","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","470125","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","485847","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","497330","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","501192","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","482321","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","524821","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","518285","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","509843","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","411918","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","389849","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","400453","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","409754","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","416472","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","395546","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","436852","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","430493","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","418328","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","155641","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","161755","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","165542","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","163508","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","162212","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","166859","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","190252","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","170038","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","155638","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","218001","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","191287","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","194974","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","201358","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","207736","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","182117","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","194396","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","206848","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","208863","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62787265","1.1.14","138128","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62787265","1.1.14","121825","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62787265","1.1.14","120295","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62787265","1.1.14","121236","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62787265","1.1.14","124703","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62787265","1.1.14","111494","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62787265","1.1.14","115035","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62787265","1.1.14","123624","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62787265","1.1.14","127625","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62787266","1.1.15","79928","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62787266","1.1.15","69498","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62787266","1.1.15","74679","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62787266","1.1.15","80190","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62787266","1.1.15","83086","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62787266","1.1.15","70598","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62787266","1.1.15","79222","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62787266","1.1.15","82965","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62787266","1.1.15","80734","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62787267","1.1.16","37325","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62787267","1.1.16","36677","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62787267","1.1.16","39937","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62787267","1.1.16","44945","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62787267","1.1.16","46592","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62787267","1.1.16","46403","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62787267","1.1.16","52770","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62787267","1.1.16","57909","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62787267","1.1.16","60233","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62787268","1.1.17","3072","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62787268","1.1.17","2259","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62787268","1.1.17","2320","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62787268","1.1.17","2318","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62787268","1.1.17","2076","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62787268","1.1.17","2240","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62787268","1.1.17","2434","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62787268","1.1.17","2772","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62787268","1.1.17","2837","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","General governments gross fixed capital formation","Dollars","81","millions","6","v62787269","1.1.18","78130","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","General governments gross fixed capital formation","Dollars","81","millions","6","v62787269","1.1.18","78017","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","General governments gross fixed capital formation","Dollars","81","millions","6","v62787269","1.1.18","83074","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","General governments gross fixed capital formation","Dollars","81","millions","6","v62787269","1.1.18","85264","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","General governments gross fixed capital formation","Dollars","81","millions","6","v62787269","1.1.18","82670","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","General governments gross fixed capital formation","Dollars","81","millions","6","v62787269","1.1.18","84519","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","General governments gross fixed capital formation","Dollars","81","millions","6","v62787269","1.1.18","85258","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","General governments gross fixed capital formation","Dollars","81","millions","6","v62787269","1.1.18","84794","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","General governments gross fixed capital formation","Dollars","81","millions","6","v62787269","1.1.18","88841","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Investment in inventories","Dollars","81","millions","6","v62787270","1.1.19","2099","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Investment in inventories","Dollars","81","millions","6","v62787270","1.1.19","1289","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Investment in inventories","Dollars","81","millions","6","v62787270","1.1.19","18284","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Investment in inventories","Dollars","81","millions","6","v62787270","1.1.19","21697","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Investment in inventories","Dollars","81","millions","6","v62787270","1.1.19","17593","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Investment in inventories","Dollars","81","millions","6","v62787270","1.1.19","-10203","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Investment in inventories","Dollars","81","millions","6","v62787270","1.1.19","10181","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Investment in inventories","Dollars","81","millions","6","v62787270","1.1.19","51121","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Investment in inventories","Dollars","81","millions","6","v62787270","1.1.19","25497","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Of which: business investment in inventories","Dollars","81","millions","6","v62787271","1.1.20","2101","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Of which: business investment in inventories","Dollars","81","millions","6","v62787271","1.1.20","1195","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Of which: business investment in inventories","Dollars","81","millions","6","v62787271","1.1.20","18681","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Of which: business investment in inventories","Dollars","81","millions","6","v62787271","1.1.20","21627","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Of which: business investment in inventories","Dollars","81","millions","6","v62787271","1.1.20","17584","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Of which: business investment in inventories","Dollars","81","millions","6","v62787271","1.1.20","-10222","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Of which: business investment in inventories","Dollars","81","millions","6","v62787271","1.1.20","9994","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Of which: business investment in inventories","Dollars","81","millions","6","v62787271","1.1.20","51501","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Of which: business investment in inventories","Dollars","81","millions","6","v62787271","1.1.20","25329","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Non-farm","Dollars","81","millions","6","v62787272","1.1.21","1249","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Non-farm","Dollars","81","millions","6","v62787272","1.1.21","560","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Non-farm","Dollars","81","millions","6","v62787272","1.1.21","17243","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Non-farm","Dollars","81","millions","6","v62787272","1.1.21","21011","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Non-farm","Dollars","81","millions","6","v62787272","1.1.21","16316","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Non-farm","Dollars","81","millions","6","v62787272","1.1.21","-9208","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Non-farm","Dollars","81","millions","6","v62787272","1.1.21","17080","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Non-farm","Dollars","81","millions","6","v62787272","1.1.21","46662","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Non-farm","Dollars","81","millions","6","v62787272","1.1.21","28194","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Farm","Dollars","81","millions","6","v62787273","1.1.22","766","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Farm","Dollars","81","millions","6","v62787273","1.1.22","574","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Farm","Dollars","81","millions","6","v62787273","1.1.22","1438","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Farm","Dollars","81","millions","6","v62787273","1.1.22","664","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Farm","Dollars","81","millions","6","v62787273","1.1.22","1291","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Farm","Dollars","81","millions","6","v62787273","1.1.22","-983","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Farm","Dollars","81","millions","6","v62787273","1.1.22","-6176","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Farm","Dollars","81","millions","6","v62787273","1.1.22","4952","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Farm","Dollars","81","millions","6","v62787273","1.1.22","-1782","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Exports to other countries","Dollars","81","millions","6","v62787274","1.1.24","653469","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Exports to other countries","Dollars","81","millions","6","v62787274","1.1.24","663436","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Exports to other countries","Dollars","81","millions","6","v62787274","1.1.24","673326","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Exports to other countries","Dollars","81","millions","6","v62787274","1.1.24","697392","","","","0"
