"REF_DATE","GEO","DGUID","Seasonal adjustment","Prices","North American Industry Classification System (NAICS)","Release","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2240503","","","","0"
"2024-02","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2253228","","","","0"
"2024-03","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2252260","","","","0"
"2024-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2260383","","","","0"
"2024-05","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2262806","","","","0"
"2024-06","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2266142","","","","0"
"2024-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2271482","","","","0"
"2024-08","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2272184","","","","0"
"2024-09","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2278538","","","","0"
"2024-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2285032","","","","0"
"2024-11","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2279543","","","","0"
"2024-12","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2283972","","","","0"
"2020-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2111889","","","","0"
"2020-02","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2116239","","","","0"
"2020-03","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","1956667","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","1747909","","","","0"
"2020-05","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","1827719","","","","0"
"2020-06","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","1935937","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","1986260","","","","0"
"2020-08","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2006168","","","","0"
"2020-09","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2024936","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2037235","","","","0"
"2020-11","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2050923","","","","0"
"2020-12","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2056578","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2069959","","","","0"
"2021-02","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2074161","","","","0"
"2021-03","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2095037","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2074294","","","","0"
"2021-05","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2068403","","","","0"
"2021-06","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2086880","","","","0"
"2021-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2101011","","","","0"
"2021-08","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2118070","","","","0"
"2021-09","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2127260","","","","0"
"2021-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2144935","","","","0"
"2021-11","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2156435","","","","0"
"2021-12","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2165059","","","","0"
"2022-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2157548","","","","0"
"2022-02","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2173306","","","","0"
"2022-03","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2188890","","","","0"
"2022-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2187675","","","","0"
"2022-05","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2193450","","","","0"
"2022-06","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2198676","","","","0"
"2022-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2201010","","","","0"
"2022-08","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2206930","","","","0"
"2022-09","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2210482","","","","0"
"2022-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2206747","","","","0"
"2022-11","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2205410","","","","0"
"2022-12","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2198020","","","","0"
"2023-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2219088","","","","0"
"2023-02","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2223989","","","","0"
"2023-03","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2230182","","","","0"
"2023-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2229312","","","","0"
"2023-05","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2231269","","","","0"
"2023-06","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2228073","","","","0"
"2023-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2228857","","","","0"
"2023-08","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2231565","","","","0"
"2023-09","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2230741","","","","0"
"2023-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2234639","","","","0"
"2023-11","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2238191","","","","0"
"2023-12","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2234502","","","","0"
"2024-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2240991","","","","0"
"2024-02","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2254134","","","","0"
"2024-03","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2253422","","","","0"
"2024-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2261335","","","","0"
"2024-05","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2264269","","","","0"
"2024-06","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2266796","","","","0"
"2024-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2272066","","","","0"
"2024-08","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2272767","","","","0"
"2024-09","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2279158","","","","0"
"2024-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2285649","","","","0"
"2024-11","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2280079","","","","0"
"2024-12","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","July 31, 2025","Dollars","81","millions","6","v1775348693","1.1.1.1.126","2284381","","","","0"
"2020-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2111889","","","","0"
"2020-02","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2116239","","","","0"
"2020-03","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","1956667","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","1747909","","","","0"
"2020-05","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","1827719","","","","0"
"2020-06","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","1935937","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","1986260","","","","0"
"2020-08","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2006168","","","","0"
"2020-09","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2024936","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2037235","","","","0"
"2020-11","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2050923","","","","0"
"2020-12","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2056578","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2069959","","","","0"
"2021-02","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2074161","","","","0"
"2021-03","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2095037","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2074294","","","","0"
"2021-05","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2068403","","","","0"
"2021-06","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2086880","","","","0"
"2021-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2101011","","","","0"
"2021-08","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2118070","","","","0"
"2021-09","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","June 27, 2025","Dollars","81","millions","6","v1707067378","1.1.1.1.125","2127260","","","","0"
