transaction_date,prod_code,store_label,stock_level,qty_sold,qty_ordered,forecasted_demand,unit_price,discount_percent,weather_type,promo_flag,competitor_price,season,revenue
2022-04-13,P0023,S093,131,222,238,249.77,87.58,15,Rainy,0,86.92,Autumn,16527.07
2022-01-15,P0005,S043,473,473,592,505.99,75.23,0,Foggy,0,82.39,Spring,35583.32
2022-02-03,P0016,S042,157,381,538,304.85,47.58,5,Foggy,0,55.93,Autumn,17219.97
2022-11-14,P0027,S039,351,499,683,544.1,14.74,0,Snowy,1,16.32,Spring,7356.03
2022-05-22,P0007,S084,438,64,183,60.39,31.49,0,Snowy,1,32.61,Winter,2015.36
2022-05-20,P0001,S053,122,398,584,507.44,44.59,10,Foggy,0,46.17,Autumn,15971.92
2022-06-02,P0024,S063,351,343,541,444.39,52.07,10,Rainy,0,59.1,Summer,16072.82
2022-09-16,P0021,S074,156,225,344,219.39,44.57,0,Foggy,0,39.51,Spring,10027.83
2022-06-27,P0003,S020,427,240,321,275.52,25.65,0,Rainy,1,22.82,Winter,6156.14
2022-04-15,P0029,S089,378,67,250,62.5,62.21,0,Snowy,0,50.87,Summer,4167.92
2022-08-14,P0012,S042,58,462,585,455.69,68.97,5,Rainy,1,68.86,Summer,30271.71
2022-04-24,P0005,S060,225,460,499,571.07,90.5,25,Foggy,1,93.09,Winter,31223.6
2022-05-27,P0002,S040,396,460,539,519.44,34.03,20,Sunny,0,29.41,Spring,12523.98
2022-07-07,P0011,S045,394,180,186,223.35,71.21,10,Foggy,1,57.8,Autumn,11536.45
2022-03-23,P0010,S010,209,362,461,390.27,30.58,20,Foggy,0,24.54,Winter,8854.89
2022-12-20,P0013,S046,204,112,299,90.11,60.39,0,Foggy,1,50.89,Summer,6763.23
2022-12-01,P0007,S074,282,223,259,189.83,85.61,0,Snowy,0,94.89,Winter,19091.24
2022-07-12,P0027,S064,66,11,32,12.22,16.06,5,Rainy,1,19.21,Autumn,167.84
2022-01-07,P0029,S076,213,250,278,202.77,21.71,15,Rainy,0,17.38,Summer,4612.9
2022-02-08,P0014,S098,334,3,17,3.59,48.36,5,Foggy,0,54.93,Autumn,137.82
2022-08-24,P0014,S084,71,458,641,465.4,34.59,25,Foggy,1,39.54,Winter,11882.82
2022-01-15,P0006,S019,490,452,613,409.76,98.56,5,Sunny,0,93.37,Autumn,42320.8
2022-04-03,P0012,S080,76,71,123,62.25,24.33,0,Rainy,1,26.87,Autumn,1727.58
2022-02-15,P0029,S064,477,180,194,187.34,92.07,25,Sunny,0,82.77,Spring,12428.81
2022-12-10,P0006,S048,493,318,389,303.75,68.64,0,Foggy,0,67.66,Summer,21826.49
2022-04-12,P0018,S095,215,31,199,25.41,69.13,15,Rainy,0,62.0,Spring,1821.54
2022-07-21,P0014,S032,129,309,476,248.71,65.63,10,Snowy,0,66.53,Spring,18252.82
2022-07-13,P0013,S030,466,76,241,82.37,17.07,0,Cloudy,1,15.02,Autumn,1297.48
2022-01-09,P0012,S049,409,458,463,507.6,21.18,20,Sunny,1,24.32,Summer,7760.28
2022-03-25,P0028,S062,133,317,448,348.3,65.1,5,Cloudy,0,53.14,Winter,19605.83
2022-08-31,P0010,S014,61,86,207,82.95,68.53,5,Snowy,1,78.72,Spring,5598.61
2022-05-30,P0023,S032,356,299,335,388.15,59.98,10,Sunny,0,49.94,Autumn,16141.35
2022-11-28,P0003,S061,142,437,485,539.32,12.76,0,Cloudy,1,12.38,Winter,5575.56
2022-04-15,P0028,S020,493,151,314,123.02,58.9,5,Cloudy,0,67.69,Summer,8448.78
2022-05-05,P0004,S006,344,425,436,421.57,99.29,0,Cloudy,0,108.55,Autumn,42199.1
2022-01-14,P0026,S008,149,239,316,252.46,64.17,10,Foggy,1,63.97,Summer,13802.32
2022-03-25,P0022,S060,430,110,239,93.24,63.36,5,Sunny,0,75.26,Summer,6621.4
2022-10-30,P0003,S005,498,423,453,388.32,63.88,0,Rainy,0,59.56,Spring,27023.04
2022-06-20,P0010,S076,399,360,360,333.46,48.78,0,Snowy,0,50.84,Autumn,17560.76
2022-06-05,P0005,S076,214,304,414,375.18,85.98,15,Snowy,0,69.96,Summer,22216.03
2022-02-04,P0002,S073,342,19,216,16.91,14.65,10,Rainy,0,14.7,Summer,250.56
2022-08-05,P0012,S020,230,241,290,310.06,96.86,0,Rainy,0,103.33,Winter,23343.42
2022-01-08,P0023,S045,357,335,419,283.73,94.58,10,Foggy,0,108.51,Summer,28517.01
2022-04-24,P0015,S034,242,310,454,376.79,98.08,0,Sunny,0,114.98,Summer,30403.81
2022-10-31,P0004,S033,50,146,214,158.93,94.68,15,Snowy,0,98.65,Autumn,11749.64
2022-03-18,P0009,S033,218,88,246,102.89,88.37,15,Snowy,0,97.74,Winter,6609.91
2022-11-27,P0006,S019,131,396,524,340.6,81.8,5,Sunny,0,86.06,Summer,30774.37
2022-11-01,P0007,S015,454,402,436,367.28,44.97,5,Cloudy,0,39.01,Summer,17174.13
2022-10-31,P0010,S066,479,264,457,274.45,44.18,20,Foggy,1,37.27,Spring,9330.97
2022-12-09,P0002,S048,342,462,531,542.13,58.02,10,Snowy,1,46.84,Autumn,24126.47
2022-07-22,P0011,S080,352,116,166,96.3,90.82,0,Foggy,0,79.73,Summer,10535.44
2022-06-05,P0029,S068,422,51,85,55.61,70.31,20,Cloudy,0,76.39,Spring,2868.59
2022-04-18,P0013,S004,139,344,417,412.76,57.02,0,Sunny,0,51.47,Winter,19616.01
2022-06-22,P0020,S068,423,262,367,224.31,83.42,0,Foggy,0,94.07,Summer,21855.35
2022-05-01,P0028,S009,75,8,132,10.02,68.19,0,Sunny,0,75.85,Summer,545.56
2022-06-13,P0024,S019,149,59,241,64.5,70.43,15,Sunny,1,80.65,Autumn,3531.98
2022-06-09,P0021,S081,199,431,441,394.78,38.1,0,Foggy,0,38.06,Summer,16423.02
2022-06-16,P0003,S007,134,145,313,166.2,46.39,5,Snowy,1,48.3,Summer,6390.04
2022-12-19,P0010,S032,216,108,271,96.76,17.15,0,Sunny,0,16.15,Winter,1851.96
2022-06-09,P0013,S049,365,129,277,120.69,70.26,0,Cloudy,0,62.7,Summer,9064.09
2022-07-28,P0003,S086,375,129,163,150.33,99.47,10,Snowy,0,101.95,Winter,11548.76
2022-06-07,P0005,S077,336,302,422,365.69,28.08,5,Snowy,0,29.94,Winter,8057.31
2022-04-28,P0003,S016,79,236,240,275.79,20.78,25,Snowy,0,22.21,Winter,3678.88
2022-02-07,P0006,S022,280,287,428,246.48,21.49,15,Cloudy,0,20.47,Summer,5243.51
2022-06-03,P0027,S073,498,330,525,408.1,84.28,0,Rainy,1,86.79,Winter,27811.0
2022-10-18,P0005,S012,288,48,205,59.47,20.47,15,Rainy,1,18.87,Spring,835.3
2022-07-25,P0015,S021,212,65,84,70.62,23.84,0,Cloudy,1,20.34,Summer,1549.68
2022-08-26,P0001,S036,144,269,393,257.91,22.53,20,Rainy,0,19.34,Spring,4847.99
2022-06-22,P0002,S008,454,481,668,571.6,55.55,0,Snowy,0,55.69,Summer,26719.4
2022-05-10,P0029,S060,496,389,448,382.15,10.03,0,Rainy,0,8.79,Spring,3901.64
2022-03-24,P0002,S011,227,252,388,219.52,65.75,0,Sunny,1,59.58,Autumn,16570.21
2022-09-30,P0016,S016,301,96,196,106.33,55.85,25,Snowy,0,59.33,Summer,4021.06
2022-01-07,P0007,S050,112,484,638,487.42,89.79,5,Foggy,0,106.45,Autumn,41287.46
2022-05-18,P0002,S062,268,404,461,361.52,11.73,0,Foggy,0,9.44,Summer,4737.83
2022-07-07,P0013,S085,230,337,475,346.16,15.82,0,Snowy,0,13.6,Summer,5329.82
2022-08-21,P0004,S034,101,111,290,136.51,76.36,5,Cloudy,1,88.34,Spring,8052.39
2022-04-07,P0017,S009,474,128,137,161.94,82.8,0,Snowy,1,93.57,Autumn,10598.34
2022-12-09,P0002,S008,492,213,300,264.38,67.3,10,Foggy,1,67.63,Spring,12901.46
2022-06-01,P0008,S077,249,86,102,109.93,74.47,0,Foggy,0,73.34,Winter,6404.34
2022-09-18,P0011,S052,448,210,214,237.33,69.52,0,Cloudy,0,57.9,Winter,14599.9
2022-02-18,P0017,S095,185,255,290,282.41,30.51,25,Sunny,0,30.88,Summer,5834.24
2022-09-26,P0018,S010,198,163,343,205.4,36.35,25,Snowy,0,29.72,Spring,4444.27
2022-05-04,P0008,S018,232,456,569,579.82,43.5,5,Snowy,0,38.23,Summer,18842.05
2022-09-25,P0017,S021,171,31,205,28.71,38.52,20,Foggy,0,45.89,Summer,955.37
2022-05-30,P0008,S007,200,235,323,298.14,14.85,0,Foggy,1,12.52,Spring,3489.1
2022-03-29,P0015,S052,332,49,92,57.15,29.22,5,Rainy,1,32.06,Autumn,1360.01
2022-10-08,P0022,S019,72,412,539,418.96,18.44,5,Cloudy,0,20.74,Winter,7216.68
2022-12-28,P0005,S003,498,387,484,349.08,18.93,5,Cloudy,1,21.31,Autumn,6958.15
2022-03-27,P0027,S066,474,111,200,135.42,80.54,5,Snowy,1,70.96,Summer,8493.08
2022-11-08,P0021,S020,124,399,499,344.08,23.4,0,Foggy,0,26.02,Summer,9336.57
2022-07-21,P0003,S026,342,229,266,202.31,47.14,10,Snowy,1,39.46,Autumn,9714.72
2022-07-05,P0007,S004,270,13,67,14.97,75.11,0,Cloudy,0,78.18,Winter,976.38
2022-04-19,P0028,S019,354,318,393,379.2,16.94,0,Foggy,1,17.05,Winter,5385.41
2022-11-15,P0013,S100,399,182,297,151.29,76.2,0,Snowy,1,91.38,Winter,13867.58
2022-02-16,P0022,S045,210,400,542,401.98,67.38,5,Snowy,0,69.32,Winter,25604.32
2022-12-16,P0005,S061,187,49,166,45.89,24.88,10,Sunny,1,27.69,Autumn,1097.05
2022-02-18,P0010,S035,351,409,557,420.9,88.55,15,Foggy,1,93.19,Summer,30782.92
2022-10-24,P0007,S039,468,128,309,116.81,80.22,0,Snowy,0,88.29,Winter,10268.05
2022-12-08,P0025,S036,262,413,547,381.4,35.45,0,Snowy,1,42.18,Winter,14639.66
2022-10-28,P0022,S095,155,216,399,177.82,79.9,0,Cloudy,1,68.37,Winter,17259.25
2022-09-05,P0018,S033,56,69,216,59.62,90.99,0,Foggy,0,88.03,Winter,6277.97
2022-03-28,P0014,S057,214,313,477,338.87,98.16,0,Rainy,0,115.71,Winter,30723.95
2022-11-23,P0025,S061,474,160,245,172.9,23.61,0,Sunny,1,21.04,Winter,3777.95
2022-07-17,P0026,S043,218,422,519,439.87,73.71,5,Foggy,0,78.55,Spring,29548.4
2022-03-27,P0002,S074,147,143,218,118.85,47.06,10,Snowy,0,56.06,Autumn,6056.48
2022-03-09,P0017,S064,81,390,499,459.05,88.49,5,Foggy,0,76.51,Summer,32786.36
2022-09-05,P0027,S040,107,283,413,355.05,79.48,0,Sunny,0,88.97,Autumn,22493.16
2022-11-03,P0020,S023,138,378,388,340.91,44.24,15,Cloudy,0,41.7,Spring,14213.61
2022-08-26,P0004,S085,121,54,157,57.25,67.84,0,Snowy,0,75.8,Autumn,3663.4
2022-08-08,P0016,S003,414,258,386,210.71,90.75,0,Foggy,1,102.38,Spring,23412.67
2022-10-29,P0004,S094,415,245,363,314.47,87.12,0,Foggy,1,92.97,Spring,21344.07
2022-05-08,P0002,S004,461,101,127,115.49,98.18,10,Rainy,0,106.79,Summer,8924.6
2022-05-14,P0026,S005,276,188,247,179.95,40.32,0,Rainy,1,42.76,Spring,7579.34
2022-10-04,P0021,S088,275,469,624,568.89,84.54,0,Sunny,0,72.44,Spring,39650.4
2022-05-30,P0019,S047,387,313,329,382.09,65.24,5,Rainy,1,58.82,Spring,19399.1
2022-02-16,P0020,S016,467,65,231,57.43,38.34,0,Snowy,0,43.51,Autumn,2492.28
2022-01-21,P0003,S004,491,408,464,388.41,29.4,0,Snowy,1,33.76,Autumn,11994.26
2022-05-14,P0009,S099,301,332,482,293.67,90.9,10,Cloudy,0,89.45,Winter,27159.8
2022-03-25,P0021,S072,239,34,146,27.91,47.15,15,Cloudy,1,40.12,Spring,1362.59
2022-06-22,P0019,S051,436,425,495,472.04,72.94,15,Sunny,0,82.55,Winter,26348.99
2022-10-13,P0019,S047,447,119,127,95.94,73.33,5,Snowy,0,76.22,Autumn,8290.15
2022-09-21,P0009,S059,383,221,222,250.59,63.89,0,Sunny,1,67.12,Winter,14120.3
2022-03-05,P0029,S062,418,431,480,468.36,13.12,5,Foggy,0,14.86,Autumn,5372.12
2022-08-04,P0012,S033,250,444,508,360.78,12.94,20,Snowy,1,12.75,Autumn,4595.62
2022-11-03,P0009,S019,75,307,344,336.43,49.9,10,Foggy,0,53.43,Winter,13788.53
2022-07-13,P0028,S004,455,75,236,77.73,53.89,10,Sunny,0,56.78,Summer,3637.58
2022-10-10,P0022,S025,259,400,535,367.77,13.58,10,Cloudy,1,12.66,Spring,4888.42
2022-06-26,P0003,S040,191,290,430,309.87,50.27,5,Sunny,0,44.62,Autumn,13849.97
2022-11-14,P0020,S097,139,294,399,278.34,82.23,5,Sunny,0,68.65,Spring,22967.6
2022-02-08,P0017,S088,326,306,446,348.14,89.19,5,Rainy,0,104.51,Spring,25926.85
2022-04-19,P0001,S040,157,18,29,20.47,46.99,20,Sunny,1,55.55,Summer,676.68
2022-08-03,P0005,S008,202,346,522,381.26,10.19,10,Cloudy,0,10.86,Spring,3172.96
2022-08-13,P0004,S082,196,238,313,199.94,47.71,15,Sunny,1,50.92,Spring,9650.78
2022-02-20,P0010,S066,356,330,447,283.1,63.88,5,Snowy,0,67.41,Spring,20027.11
2022-03-22,P0002,S093,215,386,554,390.25,58.06,0,Rainy,0,48.41,Autumn,22410.03
2022-10-21,P0026,S085,111,48,75,47.7,29.44,5,Rainy,0,31.48,Autumn,1342.67
2022-07-14,P0009,S053,171,29,184,31.6,50.18,15,Sunny,0,46.54,Winter,1236.88
2022-10-17,P0026,S057,167,99,282,87.4,45.37,5,Snowy,0,50.12,Autumn,4266.83
2022-05-06,P0020,S019,206,201,339,192.08,68.12,10,Foggy,0,77.44,Winter,12323.63
2022-12-10,P0012,S065,80,387,573,412.53,25.06,25,Foggy,0,20.44,Summer,7274.35
2022-09-02,P0011,S064,283,50,79,43.25,12.1,15,Cloudy,0,14.31,Spring,514.32
2022-10-12,P0003,S087,183,195,271,215.17,99.54,5,Snowy,0,118.28,Summer,18439.27
2022-12-08,P0004,S069,214,488,540,593.81,59.83,5,Rainy,0,67.66,Spring,27739.06
2022-12-25,P0019,S085,479,382,449,371.93,34.32,25,Snowy,0,41.18,Spring,9833.34
2022-09-09,P0015,S098,188,483,564,536.95,46.16,25,Sunny,1,45.45,Autumn,16721.49
2022-05-27,P0021,S008,333,4,67,4.39,52.8,5,Cloudy,1,53.5,Winter,200.64
2022-07-03,P0022,S021,295,394,413,407.16,59.44,0,Cloudy,1,51.09,Autumn,23418.98
2022-07-02,P0026,S048,157,235,336,249.39,77.92,5,Rainy,0,77.68,Summer,17394.73
2022-06-24,P0017,S051,486,461,464,554.72,51.04,5,Rainy,0,43.06,Winter,22352.15
2022-03-04,P0013,S081,386,368,405,341.51,36.86,0,Foggy,0,38.73,Autumn,13564.16
2022-11-19,P0023,S080,163,479,532,509.47,93.63,0,Foggy,0,105.04,Winter,44850.29
2022-09-21,P0003,S056,335,56,81,68.0,81.41,25,Rainy,1,92.29,Spring,3419.03
2022-07-20,P0015,S037,190,231,357,286.95,94.34,15,Rainy,0,78.81,Spring,18523.3
2022-12-21,P0002,S046,433,259,330,221.57,46.64,0,Snowy,0,50.33,Spring,12079.65
2022-06-11,P0029,S083,172,357,480,411.81,36.96,0,Snowy,0,40.07,Winter,13195.05
2022-04-30,P0015,S031,339,294,419,274.33,46.12,0,Foggy,0,52.43,Spring,13558.56
2022-11-09,P0009,S030,486,268,292,230.87,64.31,0,Sunny,1,73.75,Summer,17236.25
2022-06-27,P0010,S100,103,51,206,46.78,67.34,5,Foggy,1,68.75,Autumn,3262.53
2022-10-17,P0004,S077,108,470,551,569.59,74.86,5,Rainy,0,71.94,Spring,33424.53
2022-12-09,P0017,S093,203,273,360,332.97,34.86,10,Sunny,0,41.0,Winter,8563.94
2022-06-11,P0029,S028,188,120,291,130.31,42.42,0,Cloudy,1,41.3,Spring,5090.53
2022-11-12,P0006,S056,228,420,539,477.93,20.44,0,Foggy,1,21.8,Spring,8585.66
2022-01-21,P0024,S011,322,451,534,537.1,73.23,0,Snowy,1,61.65,Summer,33026.12
2022-08-15,P0016,S028,90,354,458,292.47,51.19,0,Sunny,0,52.26,Winter,18122.31
2022-04-10,P0002,S016,186,328,436,386.06,88.28,10,Foggy,0,75.45,Autumn,26059.87
2022-01-28,P0004,S018,52,27,80,24.29,97.71,0,Snowy,0,79.85,Spring,2638.26
2022-02-22,P0025,S049,167,53,126,42.79,56.43,0,Foggy,1,64.06,Spring,2990.66
2022-01-17,P0004,S014,187,162,173,177.81,54.36,5,Foggy,0,64.44,Winter,8365.67
2022-04-14,P0026,S065,389,118,209,151.98,79.66,15,Rainy,0,66.16,Autumn,7989.82
2022-06-02,P0030,S034,470,133,165,155.55,49.2,0,Snowy,0,50.59,Winter,6543.03
2022-11-27,P0011,S100,184,227,234,270.49,86.24,0,Sunny,0,76.13,Autumn,19575.45
2022-07-24,P0004,S067,462,488,566,404.97,94.36,10,Snowy,0,111.64,Spring,41444.69
2022-10-15,P0023,S005,361,95,122,112.9,68.59,10,Sunny,0,60.24,Summer,5864.12
2022-06-30,P0025,S026,74,393,592,439.37,38.36,0,Snowy,0,43.12,Autumn,15076.75
2022-06-23,P0020,S088,487,187,212,163.37,58.49,0,Foggy,0,52.18,Winter,10938.22
2022-03-02,P0022,S033,483,421,542,479.86,57.67,0,Foggy,0,67.56,Summer,24278.81
2022-01-06,P0018,S078,251,301,393,313.24,48.95,0,Foggy,0,55.68,Winter,14734.99
2022-06-18,P0011,S077,99,10,25,11.18,45.27,10,Snowy,1,49.1,Summer,407.41
2022-11-07,P0030,S076,188,356,457,395.58,49.33,5,Cloudy,0,55.83,Spring,16683.28
2022-09-04,P0027,S098,322,106,113,93.37,45.57,25,Snowy,0,48.13,Autumn,3622.7
2022-02-13,P0017,S059,133,87,223,105.94,78.72,20,Snowy,0,92.14,Summer,5479.06
2022-04-01,P0011,S085,265,169,190,171.43,38.95,15,Sunny,0,45.1,Spring,5595.21
2022-05-09,P0010,S100,314,437,596,461.63,45.81,20,Sunny,0,38.31,Summer,16013.53
2022-10-01,P0003,S099,162,358,530,331.33,61.94,0,Snowy,0,59.85,Spring,22174.89
2022-09-23,P0018,S001,107,153,211,139.3,92.64,0,Sunny,0,109.55,Summer,14174.15
2022-05-29,P0002,S041,270,67,165,64.53,62.35,5,Rainy,0,58.68,Autumn,3968.32
2022-10-06,P0023,S071,203,39,144,48.53,46.08,15,Cloudy,0,47.76,Spring,1527.71
2022-11-20,P0016,S019,161,102,223,129.58,12.95,10,Foggy,0,10.85,Autumn,1189.07
2022-01-04,P0008,S063,238,163,229,172.43,72.43,15,Sunny,0,66.12,Autumn,10034.57
2022-09-06,P0013,S069,400,253,440,268.5,59.2,5,Foggy,1,52.11,Autumn,14229.45
2022-10-30,P0006,S085,366,211,406,270.8,30.74,0,Rainy,0,33.71,Spring,6485.61
2022-04-22,P0013,S087,363,305,459,285.39,90.64,15,Sunny,0,105.22,Summer,23499.37
2022-08-29,P0004,S039,65,21,36,17.62,45.39,5,Cloudy,1,39.35,Autumn,905.48
2022-11-20,P0030,S009,188,479,526,454.23,13.82,0,Sunny,0,14.15,Spring,6618.83
2022-03-29,P0001,S063,266,50,243,57.43,43.24,20,Rainy,1,36.7,Summer,1729.41
2022-05-21,P0007,S057,130,417,486,403.57,82.64,0,Snowy,0,70.04,Spring,34459.37
2022-09-28,P0012,S047,158,182,281,217.14,59.44,0,Snowy,0,48.15,Winter,10817.69
2022-08-04,P0003,S078,363,288,346,302.56,97.32,5,Sunny,0,98.91,Spring,26627.61
2022-11-16,P0001,S069,332,335,524,360.58,87.64,0,Snowy,0,100.94,Spring,29358.61
2022-11-09,P0020,S095,477,150,221,138.79,38.49,15,Rainy,1,45.91,Autumn,4907.41
2022-02-22,P0018,S080,377,123,197,110.17,26.82,0,Snowy,0,25.04,Spring,3299.14
2022-02-19,P0028,S078,118,117,228,113.11,32.24,0,Foggy,0,28.44,Autumn,3772.3
2022-01-14,P0004,S033,190,83,229,98.99,70.43,10,Foggy,0,64.17,Summer,5261.35
2022-11-18,P0010,S057,441,217,222,233.03,50.51,25,Snowy,0,55.32,Summer,8220.58
2022-09-23,P0020,S041,482,218,315,227.05,56.77,0,Cloudy,0,60.33,Summer,12376.6
2022-01-20,P0026,S043,488,294,334,248.73,25.49,20,Snowy,0,21.33,Summer,5995.24
2022-09-23,P0030,S053,339,405,477,467.09,96.85,0,Sunny,0,87.15,Summer,39224.81
2022-03-20,P0029,S068,114,82,140,95.8,19.53,0,Foggy,0,20.22,Summer,1601.58
2022-11-01,P0030,S025,333,448,584,459.26,11.39,5,Sunny,0,12.41,Summer,4845.69
2022-10-10,P0010,S032,337,261,314,251.48,97.93,0,Snowy,1,114.17,Winter,25559.89
2022-09-05,P0015,S015,181,92,183,101.81,56.15,5,Sunny,0,60.66,Spring,4907.11
2022-02-16,P0008,S039,418,244,306,238.63,88.97,10,Foggy,0,103.61,Autumn,19538.32
2022-12-04,P0029,S050,500,317,410,404.41,64.61,10,Cloudy,1,61.59,Winter,18432.05
2022-04-01,P0027,S063,126,173,180,144.32,45.77,5,Cloudy,0,40.39,Autumn,7522.35
2022-05-17,P0025,S039,418,443,524,528.81,43.16,20,Foggy,0,49.61,Autumn,15296.05
2022-04-02,P0028,S040,469,113,130,137.0,68.44,20,Rainy,0,60.26,Summer,6186.89
2022-05-09,P0007,S061,412,309,363,357.35,12.55,0,Cloudy,0,14.68,Spring,3877.34
2022-04-19,P0016,S029,182,496,542,566.71,26.71,10,Rainy,1,21.45,Winter,11922.54
