transaction_date,store_id,product_id,inventory,units_sold,units_ordered,unit_net_price,store_region,store_city,store_cluster,store_size_sqft,category,subcategory,product_launch_date,unit_orig_price,promo_active,promo_price,promo_start_date,promo_end_date,holiday_name,is_holiday,cpi_monthly,gdp_monthly,population_monthly,unemployment_rate_monthly,avg_temperature_c,precipitation_mm,units_sold_lag_1,units_sold_lag_7,units_sold_lag_14,units_sold_lag_30,units_sold_rolling_mean_7,units_sold_rolling_std_7,units_sold_rolling_min_7,units_sold_rolling_max_7,units_sold_rolling_mean_14,units_sold_rolling_std_14,units_sold_rolling_min_14,units_sold_rolling_max_14,units_sold_rolling_mean_30,units_sold_rolling_std_30,units_sold_rolling_min_30,units_sold_rolling_max_30,units_sold_rolling_mean_90,units_sold_rolling_std_90,units_sold_rolling_min_90,units_sold_rolling_max_90,year,month,day,dayofweek,dayofyear,week,quarter,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,discount_pct,promo_duration,promo_intensity,days_to_holiday,days_from_holiday,holiday_type,is_pre_holiday,is_post_holiday,temp_category,precip_category,weather_severity,cpi_change,gdp_change,unemployment_trend,units_sold_x_unit_net_price,units_sold_x_inventory,unit_net_price_x_units_sold,unit_net_price_x_inventory,inventory_x_units_sold,inventory_x_unit_net_price,inventory_poly_2,units_sold_poly_2,units_ordered_poly_2,unit_net_price_poly_2,store_size_sqft_poly_2,unit_orig_price_poly_2,promo_price_poly_2,cpi_monthly_poly_2,gdp_monthly_poly_2,population_monthly_poly_2,unemployment_rate_monthly_poly_2,avg_temperature_c_poly_2,precipitation_mm_poly_2,units_sold_lag_1_poly_2,units_sold_lag_7_poly_2,units_sold_lag_14_poly_2,units_sold_lag_30_poly_2,units_sold_rolling_mean_7_poly_2,units_sold_rolling_std_7_poly_2,units_sold_rolling_min_7_poly_2,units_sold_rolling_max_7_poly_2,units_sold_rolling_mean_14_poly_2,units_sold_rolling_std_14_poly_2,units_sold_rolling_min_14_poly_2,units_sold_rolling_max_14_poly_2,units_sold_rolling_mean_30_poly_2,units_sold_rolling_std_30_poly_2,units_sold_rolling_min_30_poly_2,units_sold_rolling_max_30_poly_2,units_sold_rolling_mean_90_poly_2,units_sold_rolling_std_90_poly_2,units_sold_rolling_min_90_poly_2,units_sold_rolling_max_90_poly_2,year_poly_2,month_poly_2,day_poly_2,dayofweek_poly_2,dayofyear_poly_2,week_poly_2,quarter_poly_2,discount_pct_poly_2,promo_duration_poly_2,promo_intensity_poly_2,days_to_holiday_poly_2,days_from_holiday_poly_2,weather_severity_poly_2,cpi_change_poly_2,gdp_change_poly_2,unemployment_trend_poly_2,units_sold_x_unit_net_price_poly_2,units_sold_x_inventory_poly_2,unit_net_price_x_units_sold_poly_2,unit_net_price_x_inventory_poly_2,inventory_x_units_sold_poly_2,inventory_x_unit_net_price_poly_2
2022-10-28,S005,P0022,372,3,0,161.75,Saskatchewan,Vancouver,Superstore,9110,Home,Vacuum,2021-03-31,200.0,True,169.98,2022-10-19,2022-10-31,Good Friday,False,157.8,2206747,900.1,4.9,5.958227848101266,13.45,,,,,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,2022,10,28,4,301,43,4,False,False,False,False,False,False,False,19.125,12,2.295,0,0,No Holiday,False,True,Cold,Moderate,0.3357245876835075,-0.02652683528685984,-0.009919882702210114,6.166666666666667,485.25,1116,485.25,60171.0,1116,60171.0,138384,9,0,26163.0625,82992100,40000.0,28893.200399999998,24900.840000000004,4869732322009,810180.01,24.010000000000005,35.50047908988944,180.90249999999997,,,,,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,4088484,100,784,16,90601,1849,16,365.765625,144,5.267024999999999,0,0,0.11271099877526111,0.0007036729903361924,9.840407282560744e-05,38.02777777777778,235467.5625,1245456,235467.5625,3620549241.0,1245456,3620549241.0
2023-04-01,S041,P0006,164,12,0,45.09,Ontario,Edmonton,Mall,8996,Clothing,Dress,2020-10-03,60.0,True,47.62,2023-03-31,2023-04-10,Good Friday,False,157.9,2229312,12819.1,5.0,4.601226993865031,85.26233766233766,,,,,12.0,,12.0,12.0,12.0,,12.0,12.0,12.0,,12.0,12.0,12.0,,12.0,12.0,2023,4,1,5,91,13,2,True,True,False,True,False,False,False,24.849999999999994,10,2.4849999999999994,0,0,No Holiday,False,False,Cold,Very Heavy,0.4847452488872952,0.0006337135614702394,0.010225458559590228,5.833333333333333,541.08,1968,541.08,7394.76,1968,7394.76,26896,144,0,2033.1081000000004,80928016,3600.0,2267.6643999999997,24932.410000000003,4969831993344,164329324.81,25.0,21.171289849072227,7269.666223646483,,,,,144.0,,144.0,144.0,144.0,,144.0,144.0,144.0,,144.0,144.0,144.0,,144.0,144.0,4092529,16,1,25,8281,169,4,617.5224999999997,100,6.1752249999999975,0,0,0.23497795631880578,4.015928779912949e-07,0.00010456000275389706,34.02777777777777,292767.56640000007,3873024,292767.56640000007,54682475.457600005,3873024,54682475.457600005
2023-05-27,S051,P0025,268,2,0,12.18,Newfoundland,Quebec City,Outlet,7971,Beauty,Lipstick,2022-12-12,18.0,True,12.44,2023-05-12,2023-05-28,Good Friday,False,158.5,2231269,458.9,10.2,5.1553191489361705,63.4388888888889,,,,,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2023,5,27,5,147,21,2,True,False,False,False,False,False,False,32.333333333333336,16,5.173333333333334,0,0,No Holiday,False,False,Cold,Very Heavy,0.4413931426244,0.0037998733375552707,0.0008778493095626949,6.7,24.36,536,24.36,3264.24,536,3264.24,71824,4,0,148.3524,63536841,324.0,154.75359999999998,25122.25,4978561350361,210589.21,104.03999999999999,26.57731552738796,4024.492623456791,,,,,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4092529,25,729,25,21609,441,4,1045.4444444444446,256,26.763377777777784,0,0,0.1948279063558439,1.4439037381463432e-05,7.706194102997001e-07,44.89,593.4096,287296,593.4096,10655262.777599998,287296,10655262.777599998
2023-10-19,S092,P0030,285,1,0,12.06,Manitoba,Vancouver,Outlet,5330,Health,First Aid,2021-08-15,15.0,True,12.12,2023-10-10,2023-10-22,Good Friday,False,159.6,2234639,1118.2,5.1,4.531818181818182,43.663768115942034,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,2023,10,19,3,292,42,4,False,False,False,False,False,False,False,19.599999999999998,12,2.352,0,0,No Holiday,False,False,Cold,Very Heavy,0.3867431845087428,0.006940063091482651,0.0015103512844036882,6.766666666666666,12.06,285,12.06,3437.1000000000004,285,3437.1000000000004,81225,1,0,145.4436,28408900,225.0,146.8944,25472.16,4993611460321,1250371.24,26.009999999999998,20.537376033057853,1906.5246460827561,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,4092529,100,361,9,85264,1764,16,384.1599999999999,144,5.531903999999999,0,0,0.14957029076396347,4.8164475713759734e-05,2.2811610022998705e-06,45.78777777777776,145.4436,81225,145.4436,11813656.410000002,81225,11813656.410000002
2023-04-01,S041,P0013,374,32,0,4.43,Ontario,Edmonton,Mall,8996,Groceries,Cereal,2021-01-22,5.0,True,4.49,2023-03-31,2023-04-16,Good Friday,False,157.9,2229312,12819.1,5.0,4.601226993865031,85.26233766233766,,,,,32.0,,32.0,32.0,32.0,,32.0,32.0,32.0,,32.0,32.0,32.0,,32.0,32.0,2023,4,1,5,91,13,2,True,True,False,True,False,False,False,11.400000000000006,16,1.824000000000001,0,0,No Holiday,False,False,Cold,Very Heavy,0.4847452488872952,-0.010651629072681579,-0.0023838302294016955,6.766666666666666,141.76,11968,141.76,1656.82,11968,1656.82,139876,1024,0,19.624899999999997,80928016,25.0,20.160100000000003,24932.410000000003,4969831993344,164329324.81,25.0,21.171289849072227,7269.666223646483,,,,,1024.0,,1024.0,1024.0,1024.0,,1024.0,1024.0,1024.0,,1024.0,1024.0,1024.0,,1024.0,1024.0,4092529,16,1,25,8281,169,4,129.96000000000012,256,3.3269760000000033,0,0,0.23497795631880578,0.00011345720190199543,5.68264656260934e-06,45.78777777777776,20095.897599999997,143233024,20095.897599999997,2745052.5124,143233024,2745052.5124
2022-07-25,S009,P0015,387,14,0,1.67,Alberta,Edmonton,Outlet,2678,Groceries,Bread,2021-07-18,2.5,True,1.82,2022-07-17,2022-08-02,Good Friday,False,161.4,2201010,3596.0,4.9,17.84795081967213,49.57863247863248,,,,,14.0,,14.0,14.0,14.0,,14.0,14.0,14.0,,14.0,14.0,14.0,,14.0,14.0,2022,7,25,0,206,30,3,False,False,False,False,False,False,False,33.2,16,5.312,0,0,No Holiday,False,False,Mild,Very Heavy,0.5823390375054299,0.02216592780240667,-0.012695396606666076,5.0,23.38,5418,23.38,646.29,5418,646.29,149769,196,0,2.7889,7171684,6.25,3.3124000000000002,26049.960000000003,4844445020100,12931216.0,24.010000000000005,318.549348461435,2458.0407984513113,,,,,196.0,,196.0,196.0,196.0,,196.0,196.0,196.0,,196.0,196.0,196.0,,196.0,196.0,4088484,49,625,0,42436,900,9,1102.2400000000002,256,28.217344000000004,0,0,0.33911875460275054,0.000491328355341505,0.00016117309500054852,25.0,546.6243999999999,29354724,546.6243999999999,417690.7641,29354724,417690.7641
2023-02-20,S040,P0011,185,2,0,22.72,New Brunswick,Montreal,Outlet,5893,Toys,Board Game,2022-04-11,35.0,True,22.76,2023-02-11,2023-02-20,Good Friday,False,155.6,2223989,680.4,6.2,-8.78,41.972,,,,,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2023,2,20,0,51,8,1,False,False,False,False,False,False,False,35.08571428571429,9,3.157714285714286,0,0,No Holiday,False,False,Very Cold,Very Heavy,0.20105922610855403,-0.03593556381660479,0.010440206995879109,5.366666666666667,45.44,370,45.44,4203.2,370,4203.2,34225,4,0,516.1984,34727449,1225.0,518.0176,24211.359999999997,4946127072121,462944.16,38.440000000000005,77.0884,1761.6487840000002,,,,,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4092529,4,400,0,2601,64,1,1231.0073469387758,81,9.971159510204084,0,0,0.040424812403370654,0.0012913647468172753,0.00010899792211680308,28.801111111111116,2064.7936,136900,2064.7936,17666890.24,136900,17666890.24
2023-10-19,S092,P0025,355,7,0,13.11,Manitoba,Vancouver,Outlet,5330,Beauty,Lipstick,2022-12-12,18.0,True,13.79,2023-10-12,2023-10-20,Good Friday,False,159.6,2234639,1118.2,5.1,4.531818181818182,43.663768115942034,,,,,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,2023,10,19,3,292,42,4,False,False,False,False,False,False,False,27.16666666666667,8,2.173333333333334,0,0,No Holiday,True,False,Cold,Very Heavy,0.3867431845087428,0.02570694087403602,0.004788692749829293,5.3999999999999995,91.77,2485,91.77,4654.05,2485,4654.05,126025,49,0,171.8721,28408900,324.0,190.1641,25472.16,4993611460321,1250371.24,26.009999999999998,20.537376033057853,1906.5246460827561,,,,,49.0,,49.0,49.0,49.0,,49.0,49.0,49.0,,49.0,49.0,49.0,,49.0,49.0,4092529,100,361,9,85264,1764,16,738.027777777778,64,4.72337777777778,0,0,0.14957029076396347,0.0006608468091011839,2.2931578252267637e-05,29.159999999999993,8421.732899999999,6175225,8421.732899999999,21660181.4025,6175225,21660181.4025
2023-01-01,S089,P0003,152,0,0,304.79,Manitoba,Edmonton,Compact,5491,Electronics,Tablet,2022-05-21,399.0,True,314.72,2023-01-01,2023-01-18,New Year's Day,True,156.2,2219088,1091.1,4.6,-14.855555555555556,7.526153846153846,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2023,1,1,6,1,52,1,True,True,False,True,False,True,False,23.611528822055135,17,4.013959899749373,0,0,New Year's Day,False,False,Very Cold,Moderate,0.03774764423705791,-0.02130325814536349,-0.006959065871489756,5.3,0.0,0,0.0,46328.08,0,46328.08,23104,0,0,92896.94410000001,30151081,159201.0,99048.67840000002,24398.439999999995,4924351551744,1190499.2099999997,21.159999999999997,220.68753086419756,56.642991715976336,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,4092529,1,1,36,1,2704,1,557.5042933147404,289,16.111874076795992,0,0,0.0014248846454474914,0.0004538288076079959,4.8428597803733474e-05,28.09,0.0,0,0.0,2146290996.4864001,0,2146290996.4864001
2023-04-18,S064,P0004,146,3,0,15.36,PEI,Toronto,Express,8805,Clothing,Shirt,2022-02-08,25.0,True,16.33,2023-04-04,2023-04-21,New Year's Day,False,161.7,2229312,144.2,7.4,3.555555555555556,18.825,,,,,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,2023,4,18,1,108,16,2,False,False,False,False,False,False,False,38.56,17,6.5552,0,0,No Holiday,False,True,Cold,Heavy,0.31546312104684876,0.035211267605633756,0.0046072981332871965,5.7,46.08,438,46.08,2242.56,438,2242.56,21316,9,0,235.9296,77528025,625.0,266.66889999999995,26146.889999999996,4969831993344,20793.639999999996,54.760000000000005,12.641975308641976,354.38062499999995,,,,,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,4092529,16,324,1,11664,256,4,1486.8736000000001,289,42.97064704,0,0,0.09951698074061875,0.001239833366395553,2.1227196088991685e-05,32.49,2123.3664,191844,2123.3664,5029075.3536,191844,5029075.3536
